run,sampling_method,threads,stop_mode,number_of_samples,time_to_completion_s,returncode,cmd
1,EBE,1,num_samples,90000000,203.718,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t1 -mf -sEBE -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
1,EBE,1,precision,163200870,385.870,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t1 -mf -sEBE -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
1,EBE,2,num_samples,90000000,115.727,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t2 -mf -sEBE -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
1,EBE,2,precision,163200870,225.607,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t2 -mf -sEBE -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
1,EBE,4,num_samples,90000000,62.543,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t4 -mf -sEBE -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
1,EBE,4,precision,163200870,124.562,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t4 -mf -sEBE -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
1,EBE,8,num_samples,90000000,36.361,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t8 -mf -sEBE -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
1,EBE,8,precision,163200870,73.765,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t8 -mf -sEBE -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
1,EBE,16,num_samples,90000000,20.937,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t16 -mf -sEBE -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
1,EBE,16,precision,163200870,45.143,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t16 -mf -sEBE -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
1,NBE,1,num_samples,90000000,1765.981,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t1 -mf -sNBE -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
1,NBE,1,precision,163200870,3495.018,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t1 -mf -sNBE -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
1,NBE,2,num_samples,90000000,1009.077,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t2 -mf -sNBE -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
